poster_id,posted,date,time,country,state,city,duration,summary,img_url,lat,lng
0,02/03/23,27/02/23,20:02:00,United States,0,32,Approx 5 min,Observed light over the Gulf of Mexico that was preceded by cloud/mist travelling North to South parallel to the coast.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/55A33ADD-3C5E-4B98-9FFA-9272C04E351C-e0d5bfe90b6be4cfa3c19de3261de7f4.jpeg,27.3387,-82.5432
0,28/02/23,27/02/23,19:54:00,United States,0,33,3-4 minutes,2 weird lit up flying objects,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230227_195310-23b91665c3c4f940c2b3ce48931170cd.jpg,27.1241,-82.4354
25,03/03/23,27/02/23,19:45:00,United States,24,34,20-30 minutes,Two stationery craft. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/IMG_2851-5710424ed33238fcfa5712dfaffbe31b.jpg,43.5928,-96.5799
20,01/03/23,27/02/23,18:00:00,United States,19,35,1 hour,2 craft stationary in the sky...unmoving for 1 hour.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/19592-95d784ae41b4fddd1fa233c51e85ee3f.jpeg,35.8247,-86.0723
8,28/02/23,26/02/23,19:15:00,United States,8,36,App. 2 1/2 hours,2 lights in stack formation same speed. Much brighter than Venus. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230226_193832-7c447fd99a9b5e4d4774b88544766398.jpg,42.0705,-83.243
19,26/02/23,26/02/23,11:40:00,United States,3,37,Seconds,"Caught it with my camera flying about 100 ft above ground level at mach 1+ yet no visible engine, no sonic boom, no contrail, no sound!",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230226_112620-c0fed4ffa37ac117c9b2cd881b08c698.jpg,34.8621,-120.2943
16,28/02/23,25/02/23,20:30:00,United States,16,38,30 min,Took photos. Lights on it. stayed in one spot 20 min then moved slightly then gone. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230225_201217-dd4c7e34fbefca65748c528d699674c7.jpg,40.68,-82.5793
26,01/03/23,25/02/23,19:33:00,United States,25,39,35,Walking dogs and to the west there were 2 very bright lights in the lower part of the horizion,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/49081A0F-34EC-44E9-B5ED-50DCEA775F94-011f8969b22fb579ea6b117ab9187c93.png,39.0877,-108.5673
27,03/03/23,24/02/23,20:40:00,United States,26,40,Unknown,"Bright light in woods behind fence, something in corner of picture taken.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/218169AB-3437-4665-A5E6-1BEBDBCA5AC0-16837c6e8b6c4ec1e81a93fff5f0f2f7.jpeg,32.4653,-93.7955
0,28/02/23,24/02/23,00:31:00,United States,0,41,Less than a minute,"An ""L"" shaped craft with 5-7 white, circular rings on its undercarriage. Had no visible lights. Was illuminated by city lights.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/BECD576C-C4CB-452E-A9EC-8C863581EF17-06716ceb500229210c8d2674e0f833d3.jpeg,26.6194,-81.8302
4,25/02/23,22/02/23,19:00:00,United States,4,42,2-3 min,Looked like a dotted line in the night sky,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/8927741836124787097.jpg-1ab9bf0defc902d16e3dfcf0002dd89e.jpg,44.7088,-75.4717
9,21/02/23,21/02/23,22:20:00,United States,9,43,15 minutes,Stationary in sky,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/53C52E34-D622-460D-ADD3-9EEFD03DF59A-40a0762f8fcb01bcbbce8fb2fb7d7d64.jpeg,40.1533,-76.599
14,27/02/23,21/02/23,18:30:00,United States,14,44,Captured a still image,"While taking a pic of the moon and stars, I did not see the UFO in the sky; image of the UFO was captured in the photo.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230221_183023-2b10da199f4da05e3b572b2fa7a8a4b8.jpg,40.4757,-88.9703
8,23/02/23,21/02/23,08:50:00,United States,8,45,Seen it for about 4 min,Small car size oval coming from trees and into the city,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/B4C1F1D8-4F24-435E-9FEF-993F1F1A52A5-f62b867ef2cc2c5ca2acb01a13bfee48.jpeg,41.7985,-86.6139
22,23/02/23,20/02/23,20:32:00,United States,21,46,1 hour,Me and my aunt spotted different unknown objects in the sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/3D3DC1A9-8108-4BE4-9446-52E85265808B-f66aecd3cef657e719a1af855743ff43.jpeg,47.7417,-122.6407
16,25/02/23,19/02/23,22:30:00,United States,16,47,20 minutes,A single ufo sighting from kitchen window.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Screenshot_20230219_223919_Facebook-446e32a23a7ea4397dc698ba2a29c797.jpg,41.1641,-81.5207
0,19/02/23,19/02/23,19:25:00,United States,0,48,1 hour,Weird Lights,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/D2822E48-1970-457D-9269-C01DC8B09B9E-532e83455a2dc4740bcb9a668ca37f2b.jpeg,26.3558,-81.7859
9,24/02/23,19/02/23,18:31:00,United States,9,49,15,Lights that got more intense.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/IMG_20230221_140806-a922f29cb76c564a71276d7a70dc08f9.jpg,40.3578,-80.1061
